,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
191,diện tích rộng  đa dạng cây cối thực vật hoa cỏ     đa dạng các thể loại trò chơi cho thiếu nhi như đu quay lớn  tàu lượn siêu tốc  câu cá  xe điện đụng đu quay ngựa     giá cả phải chăng,5,0,0,0,0,0
211,nơi tuyệt đẹp để ngắm thành phố quy nhơn nhất là chiều tối,5,0,0,0,0,0
222,chuyến thăm chợ buổi sáng rất ổn và người hướng dẫn  trong khi rất thân thiện và dễ mến  chỉ đưa chúng tôi đi quanh chợ và chỉ ra những thứ như  đó là thì là  đó là cam địa phương  đó là sản phẩm hữu cơ  đó là chuột nướng   chuyến đi đến ngôi làng của người hmong cũng ở mức trung bình  nhưng bạn có khá nhiều túi  ví và những thứ bạn có thể mua từ ngôi làng địa phương với những đứa trẻ trang điểm bán chúng  tôi không nghĩ rằng dân làng thực sự sống ở đó  chúng tôi bỏ qua ngôi làng thứ 2 vì nó sẽ là một nhà máy chưng cất rượu whisky  thác nước kuang si rất đẹp  nhưng thành thật mà nói bạn có thể đi mà không cần hướng dẫn viên vì nó khá đơn giản và có biển chỉ dẫn  khu bảo tồn gấu cũng nằm trong thác  ăn trưa ở một nhà hàng địa phương bên ngoài thác khá tốt  chúng tôi đã đặt các món ăn theo ý thích của chúng tôi  và đồ uống được tính phí riêng  đó là một trải nghiệm tốt  chỉ không chắc liệu nó có đáng giá 170 usd cho 2 người cho một chuyến du lịch riêng hay không  nếu tôi muốn làm điều đó một lần nữa  tôi chỉ thuê một tài xế riêng  đi chợ buổi sáng nếu bạn thấy hứng thú và đi thẳng đến thác nước ,5,0,0,0,0,0
233,nhà thờ mằng lăng nằm cách thành phố tuy hòa  phú yên khoảng 35km về phía bắc và là một trong những nhà thờ lâu đời nhất ở phú yên nói riêng và việt nam nói chung  điểm nổi bật nhất nhà thờ chính là lối kiến trúc gothic đặc sắc đã có từ cách đây khoảng 1200 năm trước công nguyên   vào cổng miễn phí  gửi xe gần tiệm bán nước kế bên free nhé,5,0,0,0,0,0
236,đó là một nơi bị bỏ hoang nằm trên một bãi biển rất rất rất bẩn  thật buồn làm sao nó bẩn thỉu   ,2,0,0,0,0,0
255,bể bơi hơi bé so với mình hy vọng ,2,0,0,0,0,0
270,sân vận động đã được đầu tư cải tạo lại  sân cỏ đẹp  khán đài được làm lại đẹp hơn trước rất nhiều,5,0,0,0,0,0
297,hướng dẫn đến kịp thời  anh ấy nói tiếng anh tốt  ông ấy rất sẵn lòng đáp ứng nguyện vọng của chúng tôi để thêm vào sự bố thí của nhà sư  ông đã giải thích rất nhiều về lịch sử của lào tại bảo tàng và các ngôi chùa  rất khuyến khích ,5,0,0,0,0,0
298,chỉ sau đó họ nói với tôi rằng họ không có nó ,1,0,0,0,0,0
316,tôi đã đợi một lúc cho đến khi họ đến để hỏi tôi xem có gì sai với thức ăn không  tôi lặp lại những gì tôi đã nói  rằng tôi đang đợi món cá mập nướng của mình ,1,0,0,0,0,0
324,rạp quá tệ  ghế bẩn còn hôi  đã vậy còn có muỗi  chất lượng phim tạm được nhân viên thì không có được 1 người để cho khách trong rạp bấm điện thoại thoải mái  đã vậy còn cười nói vô tư mà không có lấy 1 nhân viên để nhắc nhở  lần đầu vào xem phim la llorona suất chiếu 20h30 ngày 12052019 thì rạp chiếu nhầm phim  phải loay hoay gần nửa tiếng mới chiếu đúng phim  trải nghiệm quá tệ rạp này chắc dùng để phục vụ cho học sinh thì được  người lớn vào xem chắc rước bực vào lòng  ,1,0,0,0,0,0
326,vì vậy  nơi tuyệt đẹp  trong khi bạn chờ xe buýt  bạn có thể uống cà phê tại công viên bên cạnh nơi này  công viên đó thật đẹp ,5,0,0,0,0,0
340,đứng trên hải đăng quan sát cù lao xanh cực đẹp  nhưng cẩn thận vì có chó dữ nên phải gọi đt cho những người canh giữ hải đăng trước để họ xích chó lại,4,0,0,0,0,0
342,quảng trường xanh  rộng và thoáng mát của thành phố biển quy nhơn  rất thích hợp cho việc đi bộ  ở đây đối diện vs các con đường lớn của tp  các tòa nhà ngân hàng cao tầng  siêu thị coopmart  có vị trí khá thuận lợi  nơi đây là nơi tổ chức các hoạt động vui chơi như hội chợ  tiger remix  bài chòi     i love this square very much    let s go to quy nhơn city square  it doesn t make you disappointed ,5,0,0,0,0,0
378,quán bar rất đẹp và có góc nhìn đẹp từ cấp 4  dịch vụ là tốt đẹp và một chap đáng yêu để giới thiệu trong thành phố ,5,0,0,0,0,0
396,đi rồi và thấy không có gì phải bàn về một nét văn hóa mới hay ho lại thuận tiện dành cho dân sài thành  với tâm thế dạo sông hóng gió và trải nghiệm nét văn hóa mới giữa lòng thành phố năng động ,4,0,0,0,0,0
397,dịch vụ ngắm san hô ngay cạnh hòn sẹo thực sự giản đơn và chưa chuyên nghiệp  sóng to không dành cho những ai dễ say sóng  khung cảnh thiên thực sự tuyệt vời  nước biển trong xanh nhìn tận đáy ,4,0,0,0,0,0
403,tôi có thể hiểu nếu một nhà hàng vẫn tồn tại mà không có thứ gì đó trong nhà bếp  nhưng tôi không hiểu tại sao họ không đến nói với tôi và họ đã đưa cho tôi một cái gì đó ngẫu nhiên từ thực đơn mà họ cho là phù hợp ,1,0,0,0,0,0
410,bãi biển nằm trên đường xuân diệu  gần tượng đài chiến thắng  chiều tối có thể đi dọc bãi biển  ghé surf bar ngắm biển  uống ly cà phê hoặc cocktail ,5,0,0,0,0,0
420,nhân viên nhiệt tình  vui vẻ  phòng ốc rộng rãi  chất lượng âm thanh tốt ,5,0,0,0,0,0
425,toi thanh pho bien quy nhon du lich đi choi chup anh nhieu nen chan minh moi ra roi  search google thi may sao tim thay cho nay  cung may minh đat lich truoc khong thi đen phai đoi   cho nay toi đong kin ghe  khong gian thiet ke on  am ap tone mau hop voi nhung đua chuyen song ao nhu minh  tay nghe cua cac ban ktv kha on  chiu kho hoi han khach can gi va le phep  gia tien cho 1 lan massage chan la 200k60p  o thanh pho du lich ma muc gia nhu vay minh thay rat hop ly  moi su met moi đeu tan bien  minh se ghe lai khi co dip du lich quy nhon tiep ,5,0,0,0,0,0
428,vé vào cửa biển khá rẻ  bên trongsạch sẽ  có nhiều cây và đặc biệt có những nhân vật trong câu chuyện cổ tích được dàn dựng thành tượng rất hay  phong cảch đẹp  mát mẻ vì gần biển sống ảo là tuyệt vời,5,0,0,0,0,0
443,gần chợ đêm  quảng trường  nhân viên nhiệt tình,5,0,0,0,0,0
454,khu vui chơi mua sắm hiện đại  có rạp chiếu phim  có khu vui chơi cho trẻ em,3,0,0,0,0,0
455,hòn khô đẹp  sóng yên hơn kỳ co  biển trong xanh  lên ảnh đẹp lắm nha  ở đây mình lượn rất nhiều ốc  xinh lắm  có mấy mẩu san hô gãy dạt vào biển nên mình nhặt luôn mình còn đi phao chuối nữa  cảm giác thích mê lắmmình chỉ tiếc là lúc chiều ra hơi muộn nên phần đường đi giữa biển bị sóng lên cao quá chưa chụp được nếu các bạn đi nên đi vào buổi sáng hoặc trưa để thấy được bãi cát giữa biển lớn nha  d mình nhìn trên ảnh đẹp lắm đó,5,0,0,0,0,0
456,gotour là công ty du lịch uy tín tại quy nhơn mà tôi từng biết  hướng dẫn viên ngoài nhiệt tình và vui vẻ   còn biết chụp ảnh cho khách hàng rất đẹp  gia đình tôi hài lòng về chuyến đi vừa rồi  hẹn gặp lại gotour quy nhơn những dịp khác,4,0,0,0,0,0
468,chúng tôi đã hoàn toàn tận hưởng kinh nghiệm và kiến thức rộng lớn của phats về khu vực chúng tôi đã tham quan  điều này đã giúp chúng tôi thoải mái  tránh được rắc rối và cô đọng lại rất nhiều điều trong 11 ngày dưới sự hướng dẫn của anh ấy ,5,0,0,0,0,0
492,quả thật rất đẹp phong cảnh hữu tình đến rồi mà chẳng muốn đi cách bố trí thật sang trọng và lịch lãm tuyệt,5,0,0,0,0,0
524,biển hòn khô có làn nước trong xanh  rất sạch và du lịch không quá đông đúc  dải san hô ở đây đa dạng  đẹp,5,0,0,0,0,0
541,người quy nhơn rất thân thiện trừ nhân viên surf bar  tôi đến sử dụng dịch vụ trả tiền chứ không phải xin  còn hút cả thuốc lá ngay cạnh bàn khách hàng có trẻ nhỏ  nhắc nhở còn thái độ ,2,0,0,0,0,0
542,khá hiện đại  rộng bát ngát  thơm tho  sạch sẽ  lịch sự  khách nước ngoài vào đây rất nhiều  có đầy đủ rạp phim  khu ăn uống  cafe  shopping  gym    v   v    hầm giữ xe thì rộng bao la  nhưng bị cái có tính phí giữ xe nhé  giá mắc luôn  ,2,0,0,0,0,0
554,nhất định lần sau mình sẽ quay lại vì dịch vụ  tay nghề các bạn khá tốt  ,4,0,0,0,0,0
570,một tổ hợp khoa học  nơi tổ chức hội thảo khoa học thu hút nhân tài thế giới,5,0,0,0,0,0
577,vẫn những trò chơi cũ thêm được 1 trò mới là nhà nhún  nhưng là điểm tốt nhất ở quy nhơn để đưa trẻ đến chơi vào các ngày lễ tết  còn ngày thường thì hầu như đóng cửa  có nhiều trò vận động và tư duy cho trẻ em khi đến đây như lái xe  tàu điện  tàu lửa siêu tốc  nhà banh  trò chơi cảm giác mạnh  phao nổi  tô tượng  vòng quay  chuồng ngựa    ở đây dịch vụ đều mang tính chất tự phát nên chưa có bài bản và quy mô  do đó cũng chỉ phục vụ vào cuối tuần và các ngày nghĩ lễ là chính  giá cả bình quân từ 20 25 000 đồng 1 trò chơi tầm 3 5 phút mỗi trò  giá mềm nên bay vèo 100 000 đồng vài phút rất nhẹ nhàng  êm ái,5,0,0,0,0,0
581,giá vé 1 chiều là 200 000vnđ  bé nhà mình 10 tháng được miễn phí  có không gian cho hành lý và chúng tôi nhận được một chai nước miễn phí ,4,0,0,0,0,0
596,khu vui chơi dành cho mọi người có nhiều dụng cụ tập thể dục  cây hoa được chăm sóc tốt,5,0,0,0,0,0
607,thiên nhiên hoang sơ  chưa được khai phá nhiều nên vẫn còn nhiều nét mộc mạc  người dân bình dị  dễ gần ,5,0,0,0,0,0
614,nằm cách quy nhơn khoảng 16 km  đảo hòn khô có cảnh vật độc đáo với những mỏm núi đá nhô ra biển  những bãi cát phẳng mịn  những bãi cỏ xanh mơn mởn và mạch nước ngọt từ vách đá  hòn khô thực sự là một trong số ít các bãi tắm đẹp nhưng vẫn giữ được sự hoang sơ của thiên nhiên tạo hóa ban tặng ,5,0,0,0,0,0
617,tuyệt đẹp  nước biển trong xanh  sạch nhìn tận đáy thuận lợi cho bơn lặn ngắm cá  san hô  còn hoang sơ chưa được khai thác hết ,5,0,0,0,0,0
634,khu vui chơi rộng rãi  đồ còn mới toanh 50k một vé người lớn không thấy ráccó thể do mới ít người biết các bạn trẻ trẻ em chỉ sợ không đủ thời gian để đi nhân viên chu đáo  nhiệt tình 5,5,0,0,0,0,0
650,khu du lịch nằm bên kia cầu nhơn hội nếu đi từ tp  qui nhơn  một trong những khu du lịch mới và đẹp nằm ở qui nhơn  ở đây chúng ta có thể tham quan nhiều phong cảnh và chơi những trò chơi thú vị  hứa hẹn sẽ đến đây dài dài ,5,0,0,0,0,0
664,mua 2 chai nước  nhưng ko đc đem vào sân phải để ngoài dân mình hiền mà có gấu như mấy sân ngoài bắc đâu ,4,0,0,0,0,0
671,phù hợp với những người đam mê khoa học hoặc gia đình có trẻ trong độ tuổi 7 15 để trẻ có thể trải nghiệm những khám phá khoa học,5,0,0,0,0,0
672,âm thanh hay  phòng ốc cũng khá đẹp  giá cả ở mức trung bình cao  mình thường nhậu tại đường nguyễn thị định xong nếu đi tăng 2 là qua kizz gần và cũng hay ,4,0,0,0,0,0
680,một trong những rooftop okie nhất mà mình từng đến  banana mama có hết tất cả những điều mình tim ở 1 nơi để chill   drinks  music  foods service etc  nhưng điều làm cho mình thích nơi đây là chính là nhân viên và không khí của quán  mọi thứ làm cho mình cảm thấy thoải mái mỗi khi mình đến banana mama  chắc chắn sẽ còn quay lại rất rất nhiều lần  best team ever ,4,0,0,0,0,0
681,một địa điểm hay cho các bạn học sinh thăm quan để hiểu sâu hơn giữa lý thuyết và thực tế các môn học,5,0,0,0,0,0
682,sau một ngày làm việc mệt mỏi  mọi người hãy đến co sở massage hy vọng để giải moi  nhân viên ở đây làm rất tốt   tay nghề rất giỏi   tôi đánh giá cao tay nghề nhân viên ở co sở này,5,0,0,0,0,0
684,anh nhân viên tư vấn không nhiệt tình chút nào hết trơn  giấy tờ thủ tục phức tạp,2,0,0,0,0,0
696,vị trí tuyệt vời  mặt bằng rộng rãi  nhân viên lịch sự và nhiệt tình tuy nhiên giá cả hơi đắt và ít khuyến mãi  có khu vui chơi rộng rãi nhiều trò cho bé free ,4,0,0,0,0,0
736,chùa cổ siêu đẹp  không đông đúc ồn ào chỉ có tiếng vãi quét lá sân xào xạc  kiến trúc cổ rất đẹp  nên ghé thăm ,4,0,0,0,0,0
738,bãi biển đẹp  gần công viên thiếu nhi  thích hợp cho trẻ em  và cho ng lớn nữa ,5,0,0,0,0,0
761,giữ xe hách dịnh  khách để xe sát bậc thềm thì quản lý ra đôi co chỉ chỏ mặc dù không có biển cấm để  xe nhân viên vẫn để sát bên  nhân viên thu ngân thì không giải thích chương trình khuyến mãi  kẹo đường khuyến mãi cho trẻ em thì kêu máy hư khởi động lâu   dù khách hàng lâu năm vinmart nhưng quá thất vọng,1,0,0,0,0,0
771,một địa điểm tham quan du lịch  nghỉ mát tốt hiện nay tại quy nhơnbạn chỉ cần đi hết cầu thị nại thành phố    khu kinh tế nhơn hội là sẽ thấy ngay khu du lịch phía bên tay phảibạn nên đi vào những ngày không phải dịp lễ  tết để có những bức ảnh đẹp nhất mà không phải lay hoay chọn hướng vì quá đông ngườivé vào cổng ngày thường cho nhu cầu tham quan rất rẻ 50 000 1 người và bạn phải trả thêm phí trò chơi nếu bạn có nhu cầu khi vào bên trongtại đây cũng có nhà hàng và khu ăn uống cho nên bạn không phải đi đâu xa hay là đem theo cả mớ đồ ăn cảsẽ rất thú vị cho những cặp tình nhân đi du lịch vì ở đây có rất nhiều homestay qua đêm và view thì miễn bàn luôn nhé ,5,0,0,0,0,0
786,3 chị em mình ghé chạm spa vào buổi sáng  bị ấn tượng bởi không gian thiết kế rất hài hòa và ấm cúng  mùi hương chanh sả nhẹ làm mình thấy thư giãn  đi bộ nhiều nên 2 chân mỏi rã rời  mình chọn dịch vụ massage chân tinh dầu kèm thêm đá nóng 60p  giá 220k   tay nghề các bạn ktv ở đây khá tốt   làm bài bản chứ ko hời hợt như một số nơi khác  nhiệt tình và rất lễ phép   mức giá 220k tại trung tâm thành phố du lịch cũng như không gian và thái độ phục vụ tốt như vậy mình thấy hợp lý   bạn nào đi chơi nhiều giống mình thì mình khuyến khích nên thử dịch vụ bên này nhé   rất hài lòng ,5,0,0,0,0,0
789,dịch vụ quá bèo vip chỉ matxa thông thường  ngoài ra giá cả thì cần gì tính giá trên trời  quản lý phục vụ quá nghiệp dư  tốn tiền vô ích  đào quá tệ,1,0,0,0,0,0
791,chuyến đi suôn sẻ và an toàn  chúng tôi muốn giới thiệu dịch vụ cho những du khách khác ,5,0,0,0,0,0
794,mình vô tình ghé qua quán  không kỳ vọng nhiều vì lối lên không quá fancy nhưng thực sự lúc vô quán bị bất ngờ bởi không gian rooftop từ tầng 10 rất thoáng  và view toàn thành phố cực đỉnh ,4,0,0,0,0,0
797,chợ bến thành  sài gòn là biểu tượng không thể quen thuộc hơn khi nói đến thành phố mang tên bác  có hàng chục nơi để đi  hàng trăm điểm để khám phá  và hàng nghìn hoạt động chờ bạn tham gia  tuy vậy  nếu chưa ghé chợ bến thành  một ngôi chợ sầm uất bậc nhất đồng thời là biểu tượng của thành phố  thì hành trình của của bạn vẫn chưa trọn vẹn đâu nha trải qua hơn 100 năm tồn tại và phát triển  chợ bến thành không chỉ là nơi giao thương của thị dân mà còn trở thành điểm du lịch không thể bỏ qua khi đến sài gòn từ kiến trúc độc đáo của ngôi chợ  những người bán hàng thân thiện  đến sự đa dạng của hàng hóa  khiến ai cũng muốn một lần ghé đến tham quan ,5,0,0,0,0,0
811,đây là lần đầu tiên cảm thấy rất khó chịu khi đến cgv xem phim  rất k hài lòng vì nhân viên bán vé  hỏi và chốt 1 cách dồn dập  nước thì k cho chọn loại nước  k hỏi kh có thẻ thành viên hay k  k có nhân viên trực phòng rạp  tự đi vô tự kiếm chổ ngồi  ,1,0,0,0,0,0
818,nơi này có bầu không khí rất tuyệt  âm nhạc rất đặc biệt với múa bụng hàng ngày ,4,0,0,0,0,0
829,để suất chiếu 9h mà tới rạp báo là suất sớm nên chưa có test phim  thiệt là khó chịu  làm ăn không chuyên nghiệp ,2,0,0,0,0,0
841,nằm trên bãi biển chính  thực sự trên cát  giá cả cao hơn một chút so với những nơi khác trong thành phố quy bào   nhưng địa điểm vị trí địa điểm  không khí tốt  nơi này có rất nhiều du khách việt nam ,4,0,0,0,0,0
842,các anh chị nhân viền vừa lịch sự vừa chu đáo  rạp phim rộng  chất lượng hình ảnh  âm thanh rất tuyệt  sạch sẽ thơm tho  còn có cả nhiều ưu đãi tốt cho khách hàng ,5,0,0,0,0,0
849,một trải nghiệm thú vị và đáng nhớ  ghé qua lần 1 không được vào nên đành qua khu icise tham quan  do quá đam mê khoa học và nghiên cứu  muốn tham quan nơi này quá mà đã quyết định hồi vé máy bay ở lại thêm 1 ngày để quay lại lần 2 xong đến vẫn không cho vào  phải năn nĩ dữ lắm chú bv mới giúp vào hỏi quản lý ở trong và cho nhập đoàn để tham quan và trải nghiệm  cảm ơn sự nhiệt tình giúp đỡ của chú bv và ban ql  có dịp sẽ quay lại lần nữa  vì nghe nói sẽ trang bị thêm nhiều thứ mới lạ nữa ,4,0,0,0,0,0
853,quá tệ  không có gì đặc sắc cũng như thu hút người khác  làm kiểu  thấy họ dơ khu miền cũng chìa trốt ,1,0,0,0,0,0
858,nếu bạn đang tìm kiếm burger tốt hoặc quá khứ  thanh này là một nơi tốt nhất để kiểm tra  nhân viên đáng yêu  nhạc sống rất tuyệt vời với không chỉ một cốc bia lạnh mà còn là một loại cocktail rất ngon được pha chế bởi người pha chế thân thiện  dễ dàng kết bạn với người địa phương ở đây ,5,0,0,0,0,0
881,đối với mình là tạm ổn  nếu bạn đăng ký thành viên sẽ được giảm giá vé như mình đi 2 người  giá giảm còn 45k1 người nếu mua thêm 2 bắp 2 nước là 90k  tổng cộng sẽ là 180k bạn nào không cận nên chọn hàng ghế từ f trở lên  sẽ ngồi đỡ mỏi cổ và nhức mắt  âm thanh và ánh sáng tại rạp khá ổn ngoài ra  rạp startlight có khu chờ phim được decor rất đẹp mắt  mọi người có thể nhìn ngắm nội thành quy nhơn từ trên cao  rất chill đấy ,4,0,0,0,0,0
892,quy nhơn là một trong những thành phố yêu thích của tôi tại việt nam và quán bar này là một trong những nơi tốt nhất để bạn có thể đi chơi ở đây  thiết kế thoáng mát  bia lạnh bíp  bóng bàn  phi tiêu    vv rất nhiều hoạt động hàng ngày  bạn có thể dễ dàng gặp gỡ một người mới ở đây  người nước ngoài  du khách ba lô  du lịch  người dân địa phương nên nó là một hỗn hợp tốt cho bầu không khí của họ  rất khuyên     ,5,0,0,0,0,0
894,mình chỉ đến spa ngẫu nhiên do spa gần khách sạn mình ở quy nhơn nhưng rất ngạc nhiên về chất lượng  dịch vụ spa rất chuyên nghiệp  hiệu quả  nhân viên có vẻ có tay nghề rất tốt  phục vụ nhiệt tình  thân thiện  highly recommend ,5,0,0,0,0,0
898,một tập đoàn lớn mà không có 1 phòng nhỏ cho anh em tài xế nằm nghỉ ngơi để tài xế đi lang thangsếp tôi là member là khách đang sử dụng dịch vụ bên phía bạn tôi chở sếp đi chơi golf thì tôi cũng là khách khách đến nhà không trà thì cũng rượukhông có nổi 1 cái room cho ae tài xế nghỉ ngơi thì có xứng đáng dc 5 sao ko   tôi xin phép cho tạm 1 sao,1,0,0,0,0,0
899,có vẻ như một chuyến tàu trực tiếp từ trung quốc sẽ có trong năm tới  và một lượng lớn khách du lịch được mong đợi  hãy bảo vệ thiên nhiên tươi đẹp này bằng cách tẩy trang kem chống nắng và thuốc chống côn trùng trước khi vào thác ,5,0,0,0,0,0
903,phòng sạch sẽ  thoáng  nệm êm  đầy đủ thiết bị,3,0,0,0,0,0
911,rất tuyệt vời cho các bạn trẻ yêu thích khoa học  đang trong quá trình hoàn thiện  sẽ có thêm nhiều thú vị trong tương lai ,5,0,0,0,0,0
912,nhân viên nhiêt tinh  gưi xe rôi đi thang bô lên tê trơi  thap va đên thơ,4,0,0,0,0,0
926,núi nằm liền kề ql 1d đoạn đường biển đẹp qui nhơn  lên tới đỉnh rada nhìn toàn cảnh thành phố biển qui nhơn rất đẹp ,5,0,0,0,0,0
930,tổ chức tour rất tốt  tôi và gia đình hài lòng  cảm ơn bạn,4,0,0,0,0,0
934,khá lý tưởng cho các tín đồ mua sắm hoặc đơn giản chỉ đi chơi cho đổi không khí  được ngắm các gian hàng đẹp  được ăn uống  đc xem phim ,4,0,0,0,0,0
945,âm thanh hay ấm cúng  cuộc vui luôn được tiếp diễn không đứt quảng  phục vụ nhiệt tình chỉ cần gọi là có  năm sao,5,0,0,0,0,0
948,hơi tệ  nhân viên nhiệt tình nhưng có lần ko biết giá nước  phim gắn 16 thì tại sao lại có những đứa u10 vào ồn ào  mất trật tự ,2,0,0,0,0,0
949,đa phần mình hay vào đây xem phim  ăn uống  giá rất ok  ko quá mắc lại rất sang  đẳng cấp ,2,0,0,0,0,0
